Freq.	V(vo)
1.58854674859776e+000	(3.51341522412008e+001,1.79994692218179e+002)
1.59220872705115e+000	(3.51341522410321e+001,1.79994679982478e+002)
1.59587914723672e+000	(3.51341522408625e+001,1.79994667718571e+002)
1.59955802861465e+000	(3.51341522406922e+001,1.79994655426393e+002)
1.60324539069002e+000	(3.51341522405211e+001,1.79994643105879e+002)
1.60694125301286e+000	(3.51341522403492e+001,1.79994630756962e+002)
1.61064563517825e+000	(3.51341522401766e+001,1.79994618379579e+002)
1.61435855682647e+000	(3.51341522400031e+001,1.79994605973663e+002)
1.61808003764305e+000	(3.51341522398288e+001,1.79994593539148e+002)
1.62181009735891e+000	(3.51341522396537e+001,1.79994581075968e+002)
1.62554875575047e+000	(3.51341522394778e+001,1.79994568584058e+002)
1.62929603263970e+000	(3.51341522393011e+001,1.79994556063352e+002)
1.63305194789432e+000	(3.51341522391236e+001,1.79994543513782e+002)
1.63681652142779e+000	(3.51341522389453e+001,1.79994530935282e+002)
1.64058977319952e+000	(3.51341522387661e+001,1.79994518327786e+002)
1.64437172321491e+000	(3.51341522385861e+001,1.79994505691226e+002)
1.64816239152549e+000	(3.51341522384053e+001,1.79994493025537e+002)
1.65196179822900e+000	(3.51341522382236e+001,1.79994480330650e+002)
1.65576996346951e+000	(3.51341522380411e+001,1.79994467606498e+002)
1.65958690743754e+000	(3.51341522378578e+001,1.79994454853014e+002)
1.66341265037015e+000	(3.51341522376736e+001,1.79994442070130e+002)
1.66724721255104e+000	(3.51341522374886e+001,1.79994429257778e+002)
1.67109061431069e+000	(3.51341522373027e+001,1.79994416415891e+002)
1.67494287602642e+000	(3.51341522371159e+001,1.79994403544401e+002)
1.67880401812254e+000	(3.51341522369283e+001,1.79994390643238e+002)
1.68267406107045e+000	(3.51341522367399e+001,1.79994377712335e+002)
1.68655302538872e+000	(3.51341522365505e+001,1.79994364751624e+002)
1.69044093164324e+000	(3.51341522363603e+001,1.79994351761035e+002)
1.69433780044731e+000	(3.51341522361692e+001,1.79994338740499e+002)
1.69824365246172e+000	(3.51341522359772e+001,1.79994325689948e+002)
1.70215850839493e+000	(3.51341522357844e+001,1.79994312609313e+002)
1.70608238900310e+000	(3.51341522355906e+001,1.79994299498523e+002)
1.71001531509027e+000	(3.51341522353960e+001,1.79994286357510e+002)
1.71395730750840e+000	(3.51341522352004e+001,1.79994273186204e+002)
1.71790838715757e+000	(3.51341522350040e+001,1.79994259984535e+002)
1.72186857498599e+000	(3.51341522348066e+001,1.79994246752433e+002)
1.72583789199018e+000	(3.51341522346083e+001,1.79994233489828e+002)
1.72981635921508e+000	(3.51341522344092e+001,1.79994220196649e+002)
1.73380399775412e+000	(3.51341522342091e+001,1.79994206872826e+002)
1.73780082874935e+000	(3.51341522340080e+001,1.79994193518289e+002)
1.74180687339159e+000	(3.51341522338061e+001,1.79994180132966e+002)
1.74582215292048e+000	(3.51341522336032e+001,1.79994166716787e+002)
1.74984668862464e+000	(3.51341522333994e+001,1.79994153269681e+002)
1.75388050184174e+000	(3.51341522331946e+001,1.79994139791576e+002)
1.75792361395867e+000	(3.51341522329889e+001,1.79994126282400e+002)
1.76197604641161e+000	(3.51341522327822e+001,1.79994112742083e+002)
1.76603782068614e+000	(3.51341522325746e+001,1.79994099170552e+002)
1.77010895831740e+000	(3.51341522323661e+001,1.79994085567735e+002)
1.77418948089014e+000	(3.51341522321565e+001,1.79994071933561e+002)
1.77827941003890e+000	(3.51341522319460e+001,1.79994058267956e+002)
1.78237876744807e+000	(3.51341522317346e+001,1.79994044570849e+002)
1.78648757485203e+000	(3.51341522315221e+001,1.79994030842167e+002)
1.79060585403527e+000	(3.51341522313087e+001,1.79994017081838e+002)
1.79473362683250e+000	(3.51341522310943e+001,1.79994003289787e+002)
1.79887091512876e+000	(3.51341522308789e+001,1.79993989465942e+002)
1.80301774085955e+000	(3.51341522306625e+001,1.79993975610231e+002)
1.80717412601090e+000	(3.51341522304451e+001,1.79993961722578e+002)
1.81134009261958e+000	(3.51341522302267e+001,1.79993947802911e+002)
1.81551566277311e+000	(3.51341522300073e+001,1.79993933851156e+002)
1.81970085860996e+000	(3.51341522297869e+001,1.79993919867239e+002)
1.82389570231961e+000	(3.51341522295654e+001,1.79993905851085e+002)
1.82810021614272e+000	(3.51341522293430e+001,1.79993891802621e+002)
1.83231442237119e+000	(3.51341522291195e+001,1.79993877721772e+002)
1.83653834334832e+000	(3.51341522288950e+001,1.79993863608463e+002)
1.84077200146893e+000	(3.51341522286694e+001,1.79993849462620e+002)
1.84501541917945e+000	(3.51341522284428e+001,1.79993835284167e+002)
1.84926861897805e+000	(3.51341522282152e+001,1.79993821073030e+002)
1.85353162341479e+000	(3.51341522279865e+001,1.79993806829132e+002)
1.85780445509167e+000	(3.51341522277567e+001,1.79993792552399e+002)
1.86208713666284e+000	(3.51341522275259e+001,1.79993778242754e+002)
1.86637969083464e+000	(3.51341522272941e+001,1.79993763900123e+002)
1.87068214036577e+000	(3.51341522270611e+001,1.79993749524428e+002)
1.87499450806739e+000	(3.51341522268271e+001,1.79993735115594e+002)
1.87931681680324e+000	(3.51341522265920e+001,1.79993720673544e+002)
1.88364908948977e+000	(3.51341522263558e+001,1.79993706198201e+002)
1.88799134909627e+000	(3.51341522261185e+001,1.79993691689490e+002)
1.89234361864495e+000	(3.51341522258802e+001,1.79993677147332e+002)
1.89670592121112e+000	(3.51341522256407e+001,1.79993662571652e+002)
1.90107827992327e+000	(3.51341522254001e+001,1.79993647962371e+002)
1.90546071796322e+000	(3.51341522251584e+001,1.79993633319412e+002)
1.90985325856621e+000	(3.51341522249156e+001,1.79993618642698e+002)
1.91425592502106e+000	(3.51341522246717e+001,1.79993603932150e+002)
1.91866874067026e+000	(3.51341522244267e+001,1.79993589187691e+002)
1.92309172891013e+000	(3.51341522241805e+001,1.79993574409242e+002)
1.92752491319091e+000	(3.51341522239332e+001,1.79993559596726e+002)
1.93196831701690e+000	(3.51341522236847e+001,1.79993544750063e+002)
1.93642196394658e+000	(3.51341522234351e+001,1.79993529869175e+002)
1.94088587759275e+000	(3.51341522231844e+001,1.79993514953983e+002)
1.94536008162263e+000	(3.51341522229325e+001,1.79993500004409e+002)
1.94984459975802e+000	(3.51341522226794e+001,1.79993485020371e+002)
1.95433945577537e+000	(3.51341522224251e+001,1.79993470001792e+002)
1.95884467350596e+000	(3.51341522221697e+001,1.79993454948592e+002)
1.96336027683602e+000	(3.51341522219131e+001,1.79993439860690e+002)
1.96788628970682e+000	(3.51341522216553e+001,1.79993424738008e+002)
1.97242273611482e+000	(3.51341522213964e+001,1.79993409580463e+002)
1.97696964011183e+000	(3.51341522211362e+001,1.79993394387977e+002)
1.98152702580507e+000	(3.51341522208748e+001,1.79993379160469e+002)
1.98609491735734e+000	(3.51341522206123e+001,1.79993363897858e+002)
1.99067333898716e+000	(3.51341522203485e+001,1.79993348600063e+002)
1.99526231496885e+000	(3.51341522200835e+001,1.79993333267002e+002)
1.99986186963271e+000	(3.51341522198173e+001,1.79993317898596e+002)
2.00447202736513e+000	(3.51341522195498e+001,1.79993302494761e+002)
2.00909281260870e+000	(3.51341522192811e+001,1.79993287055417e+002)
2.01372424986236e+000	(3.51341522190112e+001,1.79993271580482e+002)
2.01836636368153e+000	(3.51341522187400e+001,1.79993256069873e+002)
2.02301917867824e+000	(3.51341522184676e+001,1.79993240523509e+002)
2.02768271952125e+000	(3.51341522181939e+001,1.79993224941307e+002)
2.03235701093619e+000	(3.51341522179189e+001,1.79993209323183e+002)
2.03704207770569e+000	(3.51341522176427e+001,1.79993193669057e+002)
2.04173794466950e+000	(3.51341522173652e+001,1.79993177978844e+002)
2.04644463672464e+000	(3.51341522170865e+001,1.79993162252461e+002)
2.05116217882553e+000	(3.51341522168064e+001,1.79993146489825e+002)
2.05589059598411e+000	(3.51341522165251e+001,1.79993130690853e+002)
2.06062991326997e+000	(3.51341522162424e+001,1.79993114855460e+002)
2.06538015581050e+000	(3.51341522159584e+001,1.79993098983562e+002)
2.07014134879101e+000	(3.51341522156732e+001,1.79993083075077e+002)
2.07491351745488e+000	(3.51341522153866e+001,1.79993067129918e+002)
2.07969668710366e+000	(3.51341522150987e+001,1.79993051148002e+002)
2.08449088309726e+000	(3.51341522148095e+001,1.79993035129244e+002)
2.08929613085401e+000	(3.51341522145189e+001,1.79993019073559e+002)
